school_code	name	grade_span	subject	grade	type	subgroup	num_tested	num_l1	pct_l1	num_l2	pct_l2	num_l3	pct_l3	num_l4	pct_l4	num_l5	pct_l5	num_ccr	pct_ccr	num_glp	pct_glp	avg_score
140304	Baton Elementary	PK-05	MA	GS	RG	MALE	104	19	18.3	27	26.0	9	8.7	42	40.4	7	6.7	49	47.1	58	55.8	
140304	Baton Elementary	PK-05	MA	GS	RG	MALE_WHTE	99	17	17.2	26	26.3	9	9.1	40	40.4	7	7.1	47	47.5	56	56.6	
140304	Baton Elementary	PK-05	MA	GS	RG	NOT_EDS	79	9	11.4	21	26.6	4	5.1	36	45.6	9	11.4	45	57.0	49	62.0	
140304	Baton Elementary	PK-05	MA	GS	RG	NOT_LEP	198	31	15.7	59	29.8	11	5.6	81	40.9	16	8.1	97	49.0	108	54.5	
140304	Baton Elementary	PK-05	MA	GS	RG	NOT_SWD	174	20	11.5	48	27.6	11	6.3	79	45.4	16	9.2	95	54.6	106	60.9	
140304	Baton Elementary	PK-05	MA	GS	RG	SWD	25	-	-	-	-	-	<5	-	-	-	<5	2	8.0	2	8.0	
140304	Baton Elementary	PK-05	MA	GS	RG	WHTE	187	28	15.0	55	29.4	11	5.9	77	41.2	16	8.6	93	49.7	104	55.6	
140304	Baton Elementary	PK-05	RD	03	ALL	ALL	70	12	17.1	17	24.3	7	10.0	29	41.4	5	7.1	34	48.6	41	58.6	
140304	Baton Elementary	PK-05	RD	03	ALL	EDS	42	-	-	-	-	-	-	-	-	-	<5	21	50.0	25	59.5	
140304	Baton Elementary	PK-05	RD	03	ALL	FEM	33	4	12.1	9	27.3	3	9.1	15	45.5	2	6.1	17	51.5	20	60.6	
140304	Baton Elementary	PK-05	RD	03	ALL	FEM_WHTE	31	-	-	-	-	-	-	-	-	-	<5	16	51.6	19	61.3	
140304	Baton Elementary	PK-05	RD	03	ALL	MALE	37	8	21.6	8	21.6	4	10.8	14	37.8	3	8.1	17	45.9	21	56.8	
