year	unit_code	category_cd	avg_daily_attend_pct	crime_per_c_num	short_susp_per_c_num	long_susp_per_c_num	expelled_per_c_num	ttl_crimes_num	stud_internet_comp_num	lea_avg_daily_attend_pct	lea_crime_per_c_num	lea_short_susp_per_c_num	lea_long_susp_per_c_num	lea_expelled_per_c_num	lea_stud_internet_comp_num	st_avg_daily_attend_pct	st_crime_per_c_num	st_short_susp_per_c_num	st_long_susp_per_c_num	st_expelled_per_c_num	st_stud_internet_comp_num	digital_media_pct	Byod	grades_BYOD	avg_age_media_collection	_1_to_1_access	books_per_student	grades_1_to_1_access	lea_avg_age_media_collection	lea_books_per_student	st_avg_age_media_collection	st_books_per_student	wap_num	wap_per_classroom	lea_wap_num	lea_wap_per_classroom	st_wap_num	st_wap_per_classroom
2013	100340	E	0.952	0	3.52	0	0		2.52	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100342	E	0.949	0	4.94	0	0		2.49	0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100344	I	0.945	0	4.1	0	0		1.87	0.936	0	4.1	0	0	1.83	0.952	0.33				1.79																	
2013	100348	H	0.93	2.75	23.06	0	0		1.72	0.939	2.17	18.2	0	0	1.83	0.949	1.34				1.79																	
2013	100LEA	E								0.938	0	5.34	0	0	1.83	0.949	0.22				1.79																	
2013	100LEA	H								0.939	2.17	18.2	0	0	1.83	0.949	1.34				1.79																	
2013	100LEA	I								0.936	0	4.1	0	0	1.83	0.952	0.33				1.79																	
2013	100LEA	M								0.939	0.26	21.62	0.26	0	1.83	0.949	0.91				1.79																	
2013	100LEA	T								0.936	0	76.22	0.7	0	1.83	0.949	2.36				1.79																	
2013	10A000	I	0.951	0.11	1.11	0.33	0									0.952	0.33				1.79																	
2013	110303	H	0.758	8.33	205	1.67	0		0.3	0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110304	H	0.955	1.67	20.84	0.07	0		2.95	0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110306	M	0.957	0.48	20.13	0	0		2.16	0.952	1.26	14.94	0	0	2.17	0.949	0.91				1.79																	
2013	110308	E	0.954	0.58	5.2	0	0		2.14	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110318	E	0.958	0	0.85	0	0		2.38	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110320	E	0.947	0.2	1.21	0	0		3.37	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110322	H	0.968	0	3.63	0	0		1.76	0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110323	H	0.849	5.48	10.96	1.37	0			0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110324	E	0.955	1.17	0.83	0	0		1.82	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110326	M	0.958	1.63	6.84	0	0		2.51	0.952	1.26	14.94	0	0	2.17	0.949	0.91				1.79																	
2013	110332	E	0.963	0	5.32	0	0		2.12	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110336	H	0.952	1.76	22.04	0.25	0		1.62	0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110338	M	0.953	1.56	16.09	0	0		1.83	0.952	1.26	14.94	0	0	2.17	0.949	0.91				1.79																	
2013	110340	H	0.93	3.56	40.86	0.55	0		2.22	0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110342	M	0.949	1.93	18.92	0	0		3.99	0.952	1.26	14.94	0	0	2.17	0.949	0.91				1.79																	
2013	110348	E	0.96	0.47	0.71	0	0		2.28	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110352	H	0.941	2.33	27.24	0	0		1.82	0.95	2.06	24.73	0.18	0	2.17	0.949	1.34				1.79																	
2013	110356	E	0.954	0.41	1.22	0	0		2.32	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
2013	110366	E	0.961	0.21	0.82	0	0		1.75	0.951	0.36	1.74	0	0	2.17	0.949	0.22				1.79																	
