year	unit_code	szip_ad	type_cd	closed_ind	new_ind	category_cd	grade_range_cd	calendar_type_txt	sna_pgm_type_cd	school_type_txt	calendar_only_txt	title1_type_cd	clp_ind	focus_clp_ind	summer_program_ind	asm_no_spg_ind	no_data_spg_ind	esea_status	student_num	lea_avg_student_num	st_avg_student_num	Grad_project_status	stem
2016	410490	27409	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar			Y					2024	812	860	N	
2016	410491	27410	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								700	472	493		
2016	410493	27409	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								976	681	634		
2016	410496	27262	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							605	472	493		
2016	410499	27260	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y						P	462	472	493		
2016	410502	27310	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								745	472	493		
2016	410505	27265	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							496	472	493		
2016	410508	27405	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1935	812	860	N	
2016	410511	27260	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y						P	348	472	493		
2016	410514	27403	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							330	472	493		
2016	410517	27401	P	0	0	E	K-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							345	472	493		
2016	410522	27407	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								702	472	493		
2016	410523	27313	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								473	472	493		
2016	410529	27282	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar		Y						1495	812	860	N	
2016	410530	27405	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							412	472	493		
2016	410532	27405	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							768	472	493		
2016	410533	27455	P	0	0	T	6-12	Alternative Education, Traditional Calendar	A	Alternative Education	Traditional Calendar					Y			44	237	268	N	
2016	410534	27262	P	0	0	T	6-12	Alternative Education, Traditional Calendar	A	Alternative Education	Traditional Calendar					Y			33	237	268	N	
2016	410535	27342	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								453	472	493		
2016	410538	27407	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							522	472	493		
2016	410541	27265	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								458	472	493		
2016	410542	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							507	472	493		
2016	410544	27407	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y	Y						1220	812	860	N	
2016	410545	27407	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								210	812	860	N	
2016	410547	27406	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar			Y					1366	812	860	N	
2016	410550	27406	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								939	681	634		
2016	410553	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								305	472	493		
2016	410556	27406	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1096	812	860	N	
2016	410559	27265	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								808	472	493		
2016	410562	27265	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1514	812	860	N	
2016	410565	27265	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1083	681	634		
2016	410568	27410	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								361	472	493		
2016	410569	27411	P	0	0	H	9-12	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar								190	812	860	N	Yes
2016	410571	27357	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								470	472	493		
2016	410574	27358	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								627	472	493		
2016	410577	27406	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							639	472	493		
2016	410578	27260	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							469	472	493		
2016	410579	27412	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar				Y				200	812	860	N	
2016	410580	27260	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							493	472	493		
2016	410583	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							252	472	493		
2016	410586	27401	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							343	472	493		
2016	410589	27401	P	0	0	H	9-12	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								251	812	860	N	
2016	410592	27265	P	0	0	M	6-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y						F	387	681	634		
2016	410595	27410	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar		Y	Y					1291	812	860	N	
2016	410598	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y						P	308	472	493		
2016	410LEA	27401	P	0	0	T														237	268		
2016	410LEA	27401	P	0	0	M														681	634		
2016	410LEA	27401	P	0	0	I														395	475		
2016	410LEA	27401	P	0	0	H														812	860		
2016	410LEA	27401	P	0	0	E														472	493		
2016	410LEA	27401	P	0	0	A														140	511		
2016	41B000	27410	C	0	0	I	K-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							754		475		
2016	41C000	27405	C	0	0	I	K-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							249		475		
2016	41D000	27265	C	0	0	I	K-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1036		475		
