"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
920	Wake County	920548	Root Elementary	N	PK,0K,01,02,03,04,05	536	N/A	N/A	162	30.22	N	Not Title I						2015-2016	N
310	Duplin County	310384	Rose Hill-Magnolia Elementary	N	PK,0K,01,02,03,04,05	877	N/A	N/A	741	84.49	Y	SW-SW					2004-2005	2015-2016	N
820	Sampson County	820312	Roseboro Elementary	N	PK,0K,01,02,03,04,05	424	N/A	N/A	368	86.79	Y	SW-SW					2006-2007	2015-2016	N
820	Sampson County	820372	Roseboro-Salemburg Middle	N	06,07,08	419	N/A	N/A	333	79.47	Y	SW-SW					2004-2005	2015-2016	N
780	Robeson County	780394	Rosenwald Elementary	N	PK,0K,01,02,03,04	522	371	1.6	522	100.00	Y	SW-SW					2005-2006	2015-2016	Y
960	Wayne County	960370	Rosewood Elementary	N	PK,0K,01,02,03,04,05	671	N/A	N/A	360	53.65	Y	SW-SW					2006-2007	2015-2016	N
960	Wayne County	960372	Rosewood High	N	09,10,11,12	521	N/A	N/A	241	46.26	N	SW						2015-2016	N
960	Wayne County	960374	Rosewood Middle	N	06,07,08	392	N/A	N/A	196	50.00	N	SW						2015-2016	N
880	Transylvania County	880324	Rosman Elementary	N	0K,01,02,03,04,05	355	N/A	N/A	227	63.94	Y	SW-SW					2006-2007	2015-2016	N
880	Transylvania County	880328	Rosman High	N	09,10,11,12	355	N/A	N/A	195	54.93	N	SW						2015-2016	N
880	Transylvania County	880330	Rosman Middle	N	06,07,08	280	N/A	N/A	167	59.64	N	SW						2015-2016	N
800	Rowan County	800394	Rowan Co Early College	N	09,10,11,12	216	N/A	N/A	138	63.89	N	SW						2015-2016	N
780	Robeson County	780396	Rowland Middle	N	06,07,08	163	94	1.6	150	92.02	Y	SW-SW					2005-2006	2015-2016	Y
780	Robeson County	780398	Rowland Norment Elementary	N	PK,0K,01,02,03	526	336	1.6	526	100.00	Y	SW-SW					2006-2007	2015-2016	Y
73B	Roxboro Community School	73B000	Roxboro Community School	Y	06,07,08,09,10,11,12	688	N/A	N/A	116	16.86	Y	TAS-SW	Charter School	Always SW			2014-2015	2015-2016	N
350	Franklin County	350339	Royal Elementary	N	PK,0K,01,02,03,04,05	608	308	1.6	493	81.09	Y	SW-SW					2006-2007	2015-2016	Y
130	Cabarrus County	130328	Royal Oaks Elementary	N	0K,01,02,03,04,05	337	333	1.6	337	100.00	Y	SW-SW					2005-2006	2015-2016	Y
810	Rutherford County	810384	R-S Central High School	N	09,10,11,12	821	N/A	N/A	339	41.29	N	SW						2015-2016	Y
810	Rutherford County	810378	R-S Middle School	N	06,07,08	628	N/A	N/A	304	48.41	N	SW						2015-2016	Y
