Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
0-3 Years	2016	710LEA	M		0.248	0.375	0.244	0.43
0-3 Years	2016	720LEA	E		0.125	0.75	0.227	0.43
0-3 Years	2016	720LEA	H		0.278	0.75	0.231	0.43
0-3 Years	2016	720LEA	M		0.433	0.75	0.244	0.43
0-3 Years	2016	730LEA	E		0.289	0.9	0.227	0.43
0-3 Years	2016	730LEA	H		0.236	0.9	0.231	0.43
0-3 Years	2016	730LEA	M		0.328	0.9	0.244	0.43
0-3 Years	2016	740LEA	A		0.184	0.343	0.227	0.43
0-3 Years	2016	740LEA	E		0.363	0.343	0.227	0.43
0-3 Years	2016	740LEA	H		0.227	0.343	0.231	0.43
0-3 Years	2016	740LEA	I		0.3	0.343	0.255	0.43
0-3 Years	2016	740LEA	M		0.279	0.343	0.244	0.43
0-3 Years	2016	750LEA	E		0.152	0.167	0.227	0.43
0-3 Years	2016	750LEA	H		0.111	0.167	0.231	0.43
0-3 Years	2016	750LEA	M		0.119	0.167	0.244	0.43
0-3 Years	2016	760LEA	E		0.21	0.613	0.227	0.43
0-3 Years	2016	760LEA	H		0.205	0.613	0.231	0.43
0-3 Years	2016	760LEA	M		0.216	0.613	0.244	0.43
0-3 Years	2016	761LEA	E		0.298	0.375	0.227	0.43
0-3 Years	2016	761LEA	H		0.175	0.375	0.231	0.43
0-3 Years	2016	761LEA	M		0.304	0.375	0.244	0.43
0-3 Years	2016	770LEA	A		0.333	0.375	0.227	0.43
0-3 Years	2016	770LEA	E		0.259	0.375	0.227	0.43
0-3 Years	2016	770LEA	H		0.311	0.375	0.231	0.43
0-3 Years	2016	770LEA	M		0.371	0.375	0.244	0.43
0-3 Years	2016	770LEA	T		0.25	0.375	0.253	0.43
0-3 Years	2016	780LEA	A		0.056	0.31	0.227	0.43
0-3 Years	2016	780LEA	E		0.221	0.31	0.227	0.43
0-3 Years	2016	780LEA	H		0.234	0.31	0.231	0.43
0-3 Years	2016	780LEA	I		0.245	0.31	0.255	0.43
0-3 Years	2016	780LEA	M		0.306	0.31	0.244	0.43
0-3 Years	2016	790LEA	A		0.143	0.56	0.227	0.43
0-3 Years	2016	790LEA	E		0.161	0.56	0.227	0.43
0-3 Years	2016	790LEA	H		0.19	0.56	0.231	0.43
0-3 Years	2016	790LEA	M		0.14	0.56	0.244	0.43
0-3 Years	2016	800LEA	E		0.219	0.657	0.227	0.43
0-3 Years	2016	800LEA	H		0.179	0.657	0.231	0.43
0-3 Years	2016	800LEA	M		0.234	0.657	0.244	0.43
0-3 Years	2016	800LEA	T		0.154	0.657	0.253	0.43
0-3 Years	2016	810LEA	E		0.176	0.333	0.227	0.43
0-3 Years	2016	810LEA	H		0.226	0.333	0.231	0.43
0-3 Years	2016	810LEA	M		0.271	0.333	0.244	0.43
0-3 Years	2016	810LEA	T		0.167	0.333	0.253	0.43
0-3 Years	2016	820LEA	E		0.147	0.389	0.227	0.43
0-3 Years	2016	820LEA	H		0.235	0.389	0.231	0.43
0-3 Years	2016	820LEA	M		0.211	0.389	0.244	0.43
0-3 Years	2016	821LEA	E		0.115	0.6	0.227	0.43
0-3 Years	2016	821LEA	H		0.309	0.6	0.231	0.43
0-3 Years	2016	821LEA	M		0.239	0.6	0.244	0.43
