LEA,LEAname,SchoolCode,SchoolName,OfficialSchoolName,GradeLevelCurrent,SchoolType,SchoolProgramType,SchoolYear
130,Cabarrus County Schools,130312,Harrisburg Elementary,Harrisburg Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
130,Cabarrus County Schools,130313,Concord Middle,Concord Middle,06:07:08,Regular School,None,2018-19
130,Cabarrus County Schools,130314,Concord High,Concord High,09:10:11:12,Regular School,Magnet,2018-19
130,Cabarrus County Schools,130315,J N Fries Magnet School,J N Fries Magnet School,06:07:08,Regular School,Magnet,2018-19
130,Cabarrus County Schools,130316,Jay M Robinson High,Jay M Robinson High,09:10:11:12,Regular School,None,2018-19
130,Cabarrus County Schools,130317,Cabarrus Co Opportunity School,Cabarrus Co Opportunity School,06:07:08:09:10:11:12,Alternative Education,None,2018-19
130,Cabarrus County Schools,130318,C C Griffin Middle,C C Griffin Middle,06:07:08,Regular School,None,2018-19
130,Cabarrus County Schools,130319,Cox Mill Elementary,Cox Mill Elementary,KG:01:02:03:04:05,Regular School,Magnet,2018-19
130,Cabarrus County Schools,130320,Harris Road Middle,Harris Road Middle,06:07:08,Regular School,None,2018-19
130,Cabarrus County Schools,130321,Carl A Furr Elementary,Carl A Furr Elementary,PK:KG:01:02:03:04:05,Regular School,Magnet,2018-19
130,Cabarrus County Schools,130322,Mount Pleasant Elementary,Mount Pleasant Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
